458.6111111111111,315.14814814814815,4,0,1,1,1,18,21,5,9
319.35,311.875,6,2,4,2,1,10,12,7,11
457.38461538461536,382.61538461538464,2,2,3,1,1,8,4,7,7
455.75,471.0,0,1,1,0,1,8,3,6,5
469.1818181818182,357.1363636363636,0,0,2,2,1,9,7,5,5
356.0416666666667,421.8333333333333,2,0,0,0,1,4,2,5,7
387.775,510.5,0,3,3,0,1,9,1,8,5
281.6666666666667,225.05555555555554,3,1,1,0,1,7,4,6,8
368.5,232.0,1,0,1,1,1,2,2,5,6
327.4,228.75,2,0,1,1,1,8,7,5,7
287.8181818181818,415.6818181818182,1,1,2,1,1,9,2,6,6
240.5,292.25,1,0,0,0,1,21,10,5,6
368.0,397.3333333333333,0,0,0,0,1,0,1,5,5
368.0,361.94444444444446,0,0,0,0,1,0,4,5,5
472.22222222222223,380.6111111111111,1,1,1,0,1,4,7,6,6
415.25,285.3333333333333,1,0,3,3,1,4,4,5,6
408.5,331.35714285714283,10,0,0,0,2,30,30,10,25
364.67241379310343,334.41379310344826,12,0,0,0,2,31,32,10,27
384.3235294117647,426.3970588235294,0,16,25,9,3,46,30,31,25
38.41304347826087,487.5,0,0,0,0,2,8,14,10,15
578.5,528.7,0,1,1,0,1,10,3,6,5
673.75,533.4285714285714,1,1,8,7,2,12,6,11,16
